order_number,site,carrier,gpu,cpu,ordered,case_on,motherboard_on,cpu_on,ram_on,memory_on,gpu_on,packaged,delivered
10868,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/09/2021, 21:22:24","01/09/2021, 21:26:25","01/09/2021, 21:30:18","01/09/2021, 21:39:50","01/10/2021, 22:03:04","01/10/2021, 22:10:51","01/10/2021, 22:20:55","01/10/2021, 22:24:35","01/18/2021, 13:00:52"
10869,Roswell,HyperDrive Carriers,Hydra 2080,Gojira 5,"01/09/2021, 21:57:27","01/09/2021, 22:00:34","01/09/2021, 22:05:31","01/09/2021, 22:16:07","01/09/2021, 22:21:35","01/09/2021, 22:28:32","01/09/2021, 22:38:22","01/09/2021, 22:53:51","01/18/2021, 11:41:31"
10870,Area 51,WarpSpeed Delivery,Chimera 3020,Ghidora 12,"01/09/2021, 22:29:25","01/09/2021, 22:34:59","01/09/2021, 22:39:25","01/13/2021, 04:20:37","01/13/2021, 04:24:29","01/13/2021, 04:31:41","01/13/2021, 04:40:45","01/13/2021, 04:47:34","01/19/2021, 05:59:10"
10871,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/09/2021, 22:39:31","01/09/2021, 22:44:44","01/09/2021, 22:49:09","01/09/2021, 22:55:31","01/09/2021, 22:59:40","01/09/2021, 23:07:48","01/09/2021, 23:18:56","01/09/2021, 23:35:20","01/13/2021, 18:06:33"
10872,Roswell,HyperDrive Carriers,Chimera 2080,Gojira 5,"01/09/2021, 22:53:50","01/09/2021, 22:59:28","01/09/2021, 23:04:06","01/09/2021, 23:10:37","01/09/2021, 23:13:29","01/09/2021, 23:20:43","01/14/2021, 15:27:48","01/14/2021, 15:41:26","01/23/2021, 10:42:27"
10873,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/09/2021, 23:00:55","01/09/2021, 23:08:34","01/09/2021, 23:12:36","01/09/2021, 23:21:09","01/09/2021, 23:26:05","01/09/2021, 23:34:56","01/09/2021, 23:42:54","01/09/2021, 23:48:04","01/15/2021, 06:19:47"
10874,Area 51,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/09/2021, 23:18:04","01/09/2021, 23:21:51","01/09/2021, 23:25:53","01/09/2021, 23:34:03","01/09/2021, 23:37:37","01/09/2021, 23:44:54","01/09/2021, 23:53:16","01/09/2021, 23:57:02","01/15/2021, 17:23:50"
10875,Area 51,WarpSpeed Delivery,Chimera 3020,Ghidora 12,"01/09/2021, 23:52:10","01/09/2021, 23:56:58","01/10/2021, 00:02:11","01/10/2021, 00:09:36","01/10/2021, 00:15:32","01/10/2021, 00:23:50","01/10/2021, 00:33:29","01/10/2021, 00:36:42","01/15/2021, 11:18:32"
10876,Aurora,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/10/2021, 00:06:42","01/10/2021, 00:12:59","01/10/2021, 00:17:19","01/10/2021, 00:25:22","01/10/2021, 00:30:37","01/10/2021, 00:39:04","01/10/2021, 00:49:13","01/10/2021, 00:53:15","01/15/2021, 07:58:34"
10877,Area 51,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/10/2021, 00:19:42","01/10/2021, 00:23:51","01/10/2021, 00:28:36","01/10/2021, 00:35:29","01/10/2021, 00:37:21","01/10/2021, 00:46:13","01/10/2021, 00:57:01","01/10/2021, 01:01:10","01/15/2021, 11:03:01"
10878,Area 51,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/10/2021, 00:20:59","01/10/2021, 00:25:54","01/10/2021, 00:29:50","01/10/2021, 00:35:08","01/10/2021, 00:38:40","01/10/2021, 00:47:13","01/10/2021, 00:56:38","01/10/2021, 01:00:14","01/16/2021, 18:01:07"
10879,Area 51,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 00:21:57","01/10/2021, 00:28:46","01/10/2021, 00:34:00","01/10/2021, 00:39:46","01/10/2021, 00:44:47","01/10/2021, 00:51:48","01/10/2021, 01:03:55","01/10/2021, 01:07:15","01/16/2021, 14:18:45"
10880,Aurora,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/10/2021, 00:25:03","01/10/2021, 00:29:02","01/10/2021, 00:31:59","01/10/2021, 00:37:07","01/10/2021, 00:41:41","01/10/2021, 00:50:32","01/10/2021, 01:00:09","01/10/2021, 01:03:22","01/13/2021, 10:45:34"
10881,Aurora,HyperDrive Carriers,Hydra 2080,Mothra 4,"01/10/2021, 00:30:21","01/10/2021, 00:34:09","01/10/2021, 00:39:18","01/10/2021, 00:46:02","01/10/2021, 00:51:35","01/10/2021, 01:00:32","01/10/2021, 01:09:49","01/10/2021, 01:13:47","01/19/2021, 01:25:25"
10882,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/10/2021, 00:30:34","01/10/2021, 00:37:02","01/10/2021, 00:40:56","01/10/2021, 00:49:09","01/10/2021, 00:53:23","01/10/2021, 01:01:28","01/10/2021, 01:10:23","01/10/2021, 01:21:59","01/15/2021, 02:49:09"
10883,Area 51,HyperDrive Carriers,Hydra 2080,Gojira 5,"01/10/2021, 00:32:40","01/10/2021, 00:38:14","01/10/2021, 00:43:21","01/10/2021, 00:55:17","01/10/2021, 00:57:33","01/10/2021, 01:07:41","01/10/2021, 01:18:22","01/10/2021, 01:22:01","01/19/2021, 14:04:01"
10884,Roswell,WarpSpeed Delivery,Chimera 3020,Ghidora 12,"01/10/2021, 00:35:50","01/10/2021, 00:40:34","01/10/2021, 00:44:57","01/12/2021, 23:02:52","01/12/2021, 23:06:58","01/12/2021, 23:13:10","01/12/2021, 23:21:22","01/12/2021, 23:33:42","01/17/2021, 22:25:52"
10885,Aurora,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/10/2021, 00:40:43","01/10/2021, 00:44:37","01/10/2021, 00:48:40","01/10/2021, 00:53:31","01/10/2021, 00:56:45","01/10/2021, 01:05:43","01/10/2021, 01:15:27","01/10/2021, 01:19:15","01/16/2021, 01:12:09"
10886,Roswell,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/10/2021, 00:48:08","01/10/2021, 00:54:14","01/10/2021, 00:57:48","01/10/2021, 01:04:59","01/10/2021, 01:09:10","01/10/2021, 01:16:37","01/10/2021, 01:26:09","01/10/2021, 01:36:06","01/13/2021, 01:02:18"
10887,Aurora,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/10/2021, 00:52:20","01/10/2021, 00:55:15","01/10/2021, 00:59:20","01/10/2021, 01:07:14","01/10/2021, 01:09:37","01/10/2021, 01:18:51","01/10/2021, 01:26:50","01/10/2021, 01:30:08","01/14/2021, 09:23:53"
10888,Aurora,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 01:05:37","01/10/2021, 01:10:09","01/10/2021, 01:15:37","01/10/2021, 01:25:50","01/10/2021, 01:29:45","01/10/2021, 01:35:32","01/10/2021, 01:48:13","01/10/2021, 01:51:44","01/18/2021, 15:52:55"
10889,Aurora,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/10/2021, 01:37:58","01/10/2021, 01:42:14","01/10/2021, 01:45:52","01/10/2021, 01:52:20","01/10/2021, 01:56:17","01/10/2021, 02:03:36","01/10/2021, 02:14:00","01/10/2021, 02:17:25","01/18/2021, 21:04:30"
10890,Aurora,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/10/2021, 02:31:49","01/10/2021, 02:37:34","01/10/2021, 02:41:58","01/10/2021, 02:52:01","01/10/2021, 02:56:20","01/10/2021, 03:04:42","01/10/2021, 03:15:20","01/10/2021, 03:18:53","01/15/2021, 17:57:24"
10891,Roswell,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/10/2021, 02:31:54","01/10/2021, 02:39:35","01/10/2021, 02:44:15","01/10/2021, 02:51:18","01/10/2021, 02:55:56","01/10/2021, 03:06:41","01/10/2021, 03:17:43","01/10/2021, 03:30:40","01/14/2021, 16:23:13"
10892,Area 51,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 02:47:42","01/10/2021, 02:54:01","01/10/2021, 02:59:31","01/10/2021, 03:04:53","01/10/2021, 03:08:34","01/10/2021, 03:15:20","01/10/2021, 03:23:27","01/10/2021, 03:27:05","01/14/2021, 15:16:42"
10893,Aurora,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/10/2021, 02:58:54","01/10/2021, 03:02:07","01/10/2021, 03:06:00","01/10/2021, 03:11:22","01/11/2021, 03:13:03","01/11/2021, 03:21:22","01/11/2021, 03:31:51","01/11/2021, 03:36:15","01/16/2021, 21:25:12"
10894,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/10/2021, 03:06:52","01/10/2021, 03:13:13","01/10/2021, 03:18:14","01/10/2021, 03:24:22","01/11/2021, 03:39:54","01/11/2021, 03:47:09","01/11/2021, 03:57:36","01/11/2021, 04:01:45","01/17/2021, 03:38:56"
10895,Aurora,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/10/2021, 03:10:57","01/10/2021, 03:15:45","01/10/2021, 03:20:38","01/10/2021, 03:29:45","01/10/2021, 03:33:55","01/10/2021, 03:39:57","01/10/2021, 03:50:54","01/10/2021, 03:54:38","01/14/2021, 21:59:33"
10896,Area 51,HyperDrive Carriers,Hydra 2080,Mothra 4,"01/10/2021, 04:22:34","01/10/2021, 04:27:46","01/10/2021, 04:32:36","01/10/2021, 04:42:27","01/10/2021, 04:46:53","01/10/2021, 04:53:32","01/10/2021, 05:04:21","01/10/2021, 05:07:27","01/19/2021, 11:46:59"
10897,Aurora,HyperDrive Carriers,Chimera 2080,Gojira 5,"01/10/2021, 04:28:16","01/10/2021, 04:33:02","01/10/2021, 04:37:17","01/10/2021, 04:46:29","01/10/2021, 04:51:46","01/10/2021, 04:59:04","01/10/2021, 05:07:02","01/10/2021, 05:09:49","01/18/2021, 04:26:00"
10898,Aurora,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/10/2021, 04:48:17","01/10/2021, 04:51:54","01/10/2021, 04:56:10","01/10/2021, 05:04:08","01/10/2021, 05:10:11","01/10/2021, 05:17:17","01/10/2021, 05:26:36","01/10/2021, 05:29:55","01/15/2021, 12:18:05"
10899,Aurora,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/10/2021, 05:06:00","01/10/2021, 05:09:07","01/10/2021, 05:14:19","01/10/2021, 05:22:22","01/10/2021, 05:28:13","01/10/2021, 05:37:28","01/10/2021, 05:47:25","01/10/2021, 05:51:17","01/12/2021, 17:08:58"
10900,Aurora,TimeTraveler Mail,Chimera 2080,Ghidora 12,"01/10/2021, 05:20:37","01/10/2021, 05:25:58","01/10/2021, 05:31:52","01/10/2021, 05:39:12","01/10/2021, 05:42:59","01/10/2021, 05:50:25","01/14/2021, 02:29:31","01/14/2021, 02:33:58","01/19/2021, 19:58:55"
10901,Aurora,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/10/2021, 05:40:17","01/10/2021, 05:47:42","01/10/2021, 05:51:36","01/12/2021, 12:38:27","01/12/2021, 12:43:24","01/12/2021, 12:50:20","01/12/2021, 13:00:59","01/12/2021, 13:04:34","01/20/2021, 08:23:13"
10902,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/10/2021, 05:44:58","01/10/2021, 05:51:18","01/10/2021, 05:55:05","01/10/2021, 06:07:12","01/10/2021, 06:10:45","01/10/2021, 06:18:46","01/10/2021, 06:28:02","01/10/2021, 06:31:12","01/15/2021, 19:25:03"
10903,Roswell,WarpSpeed Delivery,Chimera 2080,Mothra 4,"01/10/2021, 06:31:39","01/10/2021, 06:38:20","01/10/2021, 06:41:44","01/10/2021, 06:50:03","01/10/2021, 06:56:17","01/10/2021, 07:04:01","01/14/2021, 03:29:25","01/14/2021, 03:36:15","01/18/2021, 09:39:05"
10904,Aurora,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/10/2021, 07:18:47","01/10/2021, 07:24:49","01/10/2021, 07:28:12","01/10/2021, 07:36:58","01/10/2021, 07:40:56","01/10/2021, 07:48:58","01/10/2021, 07:56:55","01/10/2021, 08:00:19","01/16/2021, 06:47:02"
10905,Aurora,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 07:20:34","01/10/2021, 07:27:36","01/10/2021, 07:31:53","01/10/2021, 07:39:05","01/10/2021, 07:45:02","01/10/2021, 07:53:26","01/10/2021, 08:05:00","01/10/2021, 08:08:47","01/15/2021, 12:01:39"
10906,Aurora,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/10/2021, 07:33:42","01/10/2021, 07:38:40","01/10/2021, 07:43:08","01/10/2021, 07:53:03","01/10/2021, 07:57:03","01/10/2021, 08:05:01","01/10/2021, 08:16:24","01/10/2021, 08:20:01","01/14/2021, 12:28:44"
10907,Roswell,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 08:00:50","01/10/2021, 08:06:21","01/10/2021, 08:10:36","01/10/2021, 08:18:19","01/10/2021, 08:22:42","01/10/2021, 08:30:36","01/10/2021, 08:39:06","01/10/2021, 08:55:12","01/14/2021, 10:03:26"
10908,Roswell,WarpSpeed Delivery,Chimera 2080,Gojira 5,"01/10/2021, 08:05:01","01/10/2021, 08:10:18","01/10/2021, 08:14:12","01/10/2021, 08:21:04","01/10/2021, 08:25:29","01/10/2021, 08:35:29","01/10/2021, 08:47:40","01/10/2021, 09:00:14","01/15/2021, 19:00:12"
10909,Roswell,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/10/2021, 08:12:23","01/10/2021, 08:17:22","01/10/2021, 08:22:46","01/10/2021, 08:33:07","01/10/2021, 08:36:58","01/10/2021, 08:44:29","01/10/2021, 08:55:50","01/10/2021, 09:09:46","01/17/2021, 23:16:48"
10910,Area 51,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/10/2021, 08:16:20","01/10/2021, 08:20:30","01/10/2021, 08:25:01","01/10/2021, 08:30:43","01/10/2021, 08:35:08","01/10/2021, 08:41:00","01/10/2021, 08:52:13","01/10/2021, 08:56:04","01/14/2021, 15:05:10"
10911,Aurora,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 08:20:15","01/10/2021, 08:24:10","01/10/2021, 08:27:43","01/10/2021, 08:35:29","01/10/2021, 08:40:45","01/10/2021, 08:46:45","01/10/2021, 08:57:06","01/10/2021, 09:01:11","01/16/2021, 09:27:56"
10912,Roswell,WarpSpeed Delivery,Chimera 2080,Gojira 5,"01/10/2021, 08:36:26","01/10/2021, 08:40:59","01/10/2021, 08:45:10","01/10/2021, 08:50:29","01/10/2021, 08:55:31","01/10/2021, 09:04:45","01/10/2021, 09:13:59","01/10/2021, 09:25:45","01/16/2021, 02:56:08"
10913,Roswell,WarpSpeed Delivery,Chimera 2080,Ghidora 12,"01/10/2021, 09:18:49","01/10/2021, 09:22:19","01/10/2021, 09:27:59","01/10/2021, 09:35:09","01/10/2021, 09:40:30","01/10/2021, 09:49:44","01/15/2021, 01:19:55","01/15/2021, 01:26:20","01/21/2021, 04:07:37"
10914,Area 51,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 09:30:53","01/10/2021, 09:37:26","01/10/2021, 09:41:46","01/10/2021, 09:50:31","01/10/2021, 09:54:13","01/10/2021, 10:01:55","01/10/2021, 10:10:19","01/10/2021, 10:14:26","01/14/2021, 21:21:45"
10915,Area 51,HyperDrive Carriers,Chimera 2080,Mothra 4,"01/10/2021, 09:31:03","01/10/2021, 09:37:47","01/10/2021, 09:42:04","01/10/2021, 09:46:39","01/10/2021, 09:50:13","01/10/2021, 09:58:04","01/13/2021, 15:43:25","01/13/2021, 15:47:51","01/19/2021, 12:29:23"
10916,Area 51,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 10:00:48","01/10/2021, 10:06:02","01/10/2021, 10:10:31","01/10/2021, 10:16:42","01/10/2021, 10:21:08","01/10/2021, 10:28:06","01/10/2021, 10:34:34","01/10/2021, 10:38:32","01/17/2021, 10:32:20"
10917,Aurora,HyperDrive Carriers,Chimera 2080,Mothra 4,"01/10/2021, 10:12:27","01/10/2021, 10:17:29","01/10/2021, 10:23:30","01/10/2021, 10:32:30","01/10/2021, 10:36:03","01/10/2021, 10:44:44","01/10/2021, 10:55:26","01/10/2021, 10:59:36","01/19/2021, 13:48:55"
10918,Area 51,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 10:33:49","01/10/2021, 10:38:26","01/10/2021, 10:41:30","01/10/2021, 10:50:17","01/10/2021, 10:53:01","01/10/2021, 11:01:13","01/10/2021, 11:11:16","01/10/2021, 11:14:35","01/19/2021, 01:34:52"
10919,Area 51,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/10/2021, 10:57:05","01/10/2021, 10:59:55","01/10/2021, 11:04:26","01/10/2021, 11:08:08","01/10/2021, 11:11:39","01/10/2021, 11:19:23","01/10/2021, 11:29:40","01/10/2021, 11:36:44","01/16/2021, 04:07:02"
10920,Aurora,HyperDrive Carriers,Hydra 2080,Mothra 4,"01/10/2021, 10:58:21","01/10/2021, 11:03:26","01/10/2021, 11:07:36","01/10/2021, 11:16:32","01/10/2021, 11:20:15","01/10/2021, 11:27:42","01/10/2021, 11:37:49","01/10/2021, 11:41:39","01/19/2021, 06:10:50"
10921,Area 51,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/10/2021, 11:08:47","01/10/2021, 11:14:09","01/10/2021, 11:18:32","01/10/2021, 11:28:09","01/10/2021, 11:34:09","01/10/2021, 11:41:07","01/10/2021, 11:49:05","01/10/2021, 11:51:54","01/18/2021, 07:28:26"
10922,Aurora,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/10/2021, 11:16:24","01/10/2021, 11:21:55","01/10/2021, 11:25:09","01/10/2021, 11:33:49","01/10/2021, 11:39:35","01/10/2021, 11:45:47","01/10/2021, 11:56:30","01/10/2021, 11:59:03","01/15/2021, 23:48:15"
10923,Roswell,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/10/2021, 11:18:55","01/10/2021, 11:23:26","01/10/2021, 11:29:18","01/10/2021, 11:35:01","01/10/2021, 11:39:59","01/10/2021, 11:47:31","01/10/2021, 11:56:24","01/10/2021, 12:00:44","01/16/2021, 08:49:40"
10924,Aurora,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/10/2021, 11:57:32","01/10/2021, 12:01:50","01/10/2021, 12:06:11","01/10/2021, 12:16:00","01/10/2021, 12:20:11","01/10/2021, 12:28:33","01/10/2021, 12:39:54","01/10/2021, 12:42:52","01/18/2021, 21:30:46"
10925,Aurora,WarpSpeed Delivery,Chimera 2080,Gojira 5,"01/10/2021, 12:04:34","01/10/2021, 12:09:53","01/10/2021, 12:13:57","01/10/2021, 12:23:48","01/10/2021, 12:26:21","01/10/2021, 12:35:19","01/10/2021, 12:41:55","01/10/2021, 12:44:57","01/13/2021, 19:05:12"
10926,Aurora,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 12:09:45","01/10/2021, 12:13:56","01/10/2021, 12:18:52","01/10/2021, 12:28:21","01/10/2021, 12:32:49","01/10/2021, 12:40:53","01/10/2021, 12:47:52","01/10/2021, 12:51:29","01/17/2021, 18:19:32"
10927,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/10/2021, 12:16:27","01/10/2021, 12:21:52","01/10/2021, 12:26:02","01/10/2021, 12:32:14","01/10/2021, 12:36:43","01/10/2021, 12:44:09","01/10/2021, 12:54:15","01/10/2021, 12:56:59","01/15/2021, 14:34:59"
10928,Roswell,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 12:17:23","01/10/2021, 12:23:54","01/10/2021, 12:28:44","01/10/2021, 12:35:51","01/10/2021, 12:39:22","01/10/2021, 12:49:39","01/10/2021, 12:59:33","01/10/2021, 13:13:17","01/18/2021, 06:27:41"
10929,Roswell,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/10/2021, 12:20:54","01/10/2021, 12:26:05","01/10/2021, 12:29:47","01/10/2021, 12:35:05","01/10/2021, 12:39:14","01/10/2021, 12:46:09","01/10/2021, 12:56:25","01/10/2021, 13:01:19","01/17/2021, 15:59:54"
10930,Area 51,HyperDrive Carriers,Hydra 2080,Gojira 5,"01/10/2021, 12:36:16","01/10/2021, 12:39:58","01/10/2021, 12:44:59","01/10/2021, 12:55:37","01/10/2021, 12:59:48","01/10/2021, 13:05:46","01/10/2021, 13:16:53","01/10/2021, 13:20:31","01/18/2021, 23:35:07"
10931,Roswell,TimeTraveler Mail,Chimera 2080,Mothra 4,"01/10/2021, 12:40:35","01/10/2021, 12:44:50","01/10/2021, 12:48:51","01/10/2021, 12:56:34","01/10/2021, 12:58:50","01/10/2021, 13:07:17","01/14/2021, 02:13:44","01/14/2021, 02:22:38","01/20/2021, 14:39:55"
10932,Aurora,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/10/2021, 12:42:32","01/10/2021, 12:47:41","01/10/2021, 12:52:50","01/10/2021, 12:59:40","01/10/2021, 13:03:24","01/10/2021, 13:09:53","01/10/2021, 13:15:26","01/10/2021, 13:19:02","01/18/2021, 01:12:29"
10933,Roswell,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/10/2021, 12:47:50","01/10/2021, 12:51:01","01/10/2021, 12:56:06","01/10/2021, 13:01:50","01/10/2021, 13:07:13","01/10/2021, 13:14:24","01/10/2021, 13:25:01","01/10/2021, 13:37:58","01/16/2021, 01:22:52"
10934,Roswell,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/10/2021, 12:57:53","01/10/2021, 13:04:43","01/10/2021, 13:09:03","01/10/2021, 13:15:16","01/10/2021, 13:21:57","01/10/2021, 13:29:48","01/10/2021, 13:39:33","01/10/2021, 13:50:25","01/15/2021, 04:02:33"
10935,Area 51,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/10/2021, 12:58:29","01/10/2021, 13:06:00","01/10/2021, 13:10:43","01/10/2021, 13:18:08","01/10/2021, 13:22:28","01/10/2021, 13:29:47","01/10/2021, 13:38:59","01/10/2021, 13:42:24","01/15/2021, 02:06:31"
10936,Area 51,TimeTraveler Mail,Chimera 2080,Ghidora 12,"01/10/2021, 13:03:31","01/10/2021, 13:07:24","01/10/2021, 13:11:51","01/13/2021, 17:47:25","01/13/2021, 17:50:39","01/13/2021, 17:58:30","01/17/2021, 23:37:21","01/17/2021, 23:40:53","01/23/2021, 08:06:46"
10937,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/10/2021, 13:08:48","01/10/2021, 13:13:55","01/10/2021, 13:17:27","01/10/2021, 13:25:50","01/10/2021, 13:31:08","01/10/2021, 13:40:21","01/10/2021, 13:48:30","01/10/2021, 14:02:15","01/15/2021, 16:42:23"
10938,Aurora,WarpSpeed Delivery,Chimera 3020,Ghidora 12,"01/10/2021, 13:11:45","01/10/2021, 13:18:02","01/10/2021, 13:22:30","01/10/2021, 13:30:16","01/10/2021, 13:34:41","01/10/2021, 13:44:51","01/10/2021, 13:56:13","01/10/2021, 13:59:18","01/15/2021, 18:20:16"
10939,Area 51,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/10/2021, 13:13:37","01/10/2021, 13:17:13","01/10/2021, 13:20:29","01/10/2021, 13:26:22","01/10/2021, 13:30:43","01/10/2021, 13:39:23","01/10/2021, 13:48:10","01/10/2021, 13:52:12","01/14/2021, 22:25:31"
10940,Roswell,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 13:31:27","01/10/2021, 13:35:38","01/10/2021, 13:39:23","01/10/2021, 13:44:39","01/10/2021, 13:48:51","01/10/2021, 13:57:25","01/10/2021, 14:05:58","01/10/2021, 14:12:31","01/15/2021, 14:26:26"
10941,Roswell,HyperDrive Carriers,Chimera 2080,Gojira 5,"01/10/2021, 13:42:23","01/10/2021, 13:49:10","01/10/2021, 13:52:33","01/10/2021, 14:05:26","01/10/2021, 14:08:20","01/10/2021, 14:17:11","01/15/2021, 07:17:42","01/15/2021, 07:26:47","01/23/2021, 12:43:56"
10942,Aurora,WarpSpeed Delivery,Chimera 2080,Ghidora 12,"01/10/2021, 13:57:25","01/10/2021, 14:01:00","01/10/2021, 14:06:29","01/10/2021, 14:14:32","01/10/2021, 14:17:52","01/10/2021, 14:26:13","01/14/2021, 15:24:35","01/14/2021, 15:27:45","01/18/2021, 14:19:02"
10943,Area 51,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/10/2021, 14:06:58","01/10/2021, 14:09:06","01/10/2021, 14:12:12","01/10/2021, 14:20:15","01/10/2021, 14:25:30","01/10/2021, 14:32:11","01/10/2021, 14:40:50","01/10/2021, 14:45:03","01/14/2021, 12:04:21"
10944,Area 51,HyperDrive Carriers,Chimera 2080,Mothra 4,"01/10/2021, 14:37:35","01/10/2021, 14:40:13","01/10/2021, 14:45:25","01/10/2021, 14:50:27","01/10/2021, 14:53:07","01/10/2021, 15:00:09","01/10/2021, 15:11:26","01/10/2021, 15:14:19","01/17/2021, 14:03:37"
10945,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/10/2021, 15:22:46","01/10/2021, 15:28:44","01/10/2021, 15:33:49","01/10/2021, 15:41:47","01/10/2021, 15:46:00","01/10/2021, 15:55:01","01/10/2021, 16:04:29","01/10/2021, 16:08:01","01/16/2021, 10:44:59"
10946,Aurora,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/10/2021, 15:39:49","01/10/2021, 15:47:00","01/10/2021, 15:51:53","01/10/2021, 16:01:18","01/10/2021, 16:06:21","01/10/2021, 16:17:04","01/10/2021, 16:27:17","01/10/2021, 16:31:11","01/14/2021, 05:18:05"
10947,Aurora,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/10/2021, 16:23:02","01/10/2021, 16:28:18","01/10/2021, 16:33:13","01/10/2021, 16:41:27","01/10/2021, 16:46:31","01/10/2021, 16:53:53","01/10/2021, 17:03:29","01/10/2021, 17:07:02","01/15/2021, 08:11:27"
10948,Aurora,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/10/2021, 16:32:22","01/10/2021, 16:38:19","01/10/2021, 16:42:19","01/13/2021, 23:30:00","01/13/2021, 23:34:12","01/13/2021, 23:41:45","01/13/2021, 23:51:06","01/13/2021, 23:55:35","01/19/2021, 01:26:06"
10949,Area 51,HyperDrive Carriers,Hydra 2080,Mothra 4,"01/10/2021, 16:59:40","01/10/2021, 17:05:11","01/10/2021, 17:09:46","01/10/2021, 17:19:01","01/10/2021, 17:24:59","01/10/2021, 17:33:51","01/10/2021, 17:40:44","01/10/2021, 17:44:19","01/20/2021, 12:21:32"
10950,Roswell,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/10/2021, 17:11:21","01/10/2021, 17:16:03","01/10/2021, 17:19:14","01/10/2021, 17:27:30","01/10/2021, 17:33:46","01/10/2021, 17:41:03","01/10/2021, 17:51:06","01/10/2021, 18:02:10","01/15/2021, 07:47:53"
10951,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/10/2021, 17:15:47","01/10/2021, 17:19:10","01/10/2021, 17:23:45","01/10/2021, 17:34:57","01/10/2021, 17:41:11","01/10/2021, 17:48:51","01/10/2021, 18:00:09","01/10/2021, 18:03:44","01/16/2021, 11:28:19"
10952,Aurora,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/10/2021, 17:35:34","01/10/2021, 17:41:42","01/10/2021, 17:45:54","01/10/2021, 17:59:23","01/10/2021, 18:05:07","01/10/2021, 18:13:38","01/10/2021, 18:23:17","01/10/2021, 18:26:44","01/15/2021, 08:46:54"
